,Sample,Allele_frequency,Super_population,Group
205,HG00472,0.063348,ASN,Low
206,HG00473,0.081448,ASN,Low
207,HG00475,0.040724,ASN,Low
208,HG00476,0.104827,ASN,Low
209,HG00478,0.077677,ASN,Low
210,HG00479,0.040724,ASN,Low
211,HG00500,0.114630,ASN,Low
212,HG00501,0.057315,ASN,Low
213,HG00512,0.067119,ASN,Low
214,HG00513,0.080694,ASN,Low
215,HG00524,0.087481,ASN,Low
216,HG00525,0.052790,ASN,Low
217,HG00530,0.062594,ASN,Low
218,HG00531,0.042986,ASN,Low
219,HG00533,0.066365,ASN,Low
220,HG00534,0.073152,ASN,Low
221,HG00536,0.011312,ASN,Low
222,HG00537,0.012821,ASN,Low
223,HG00542,0.052790,ASN,Low
224,HG00543,0.088989,ASN,Low
225,HG00553,0.085219,AMR,High
226,HG00554,0.027149,AMR,High
227,HG00556,0.073152,ASN,Low
228,HG00557,0.103318,ASN,Low
229,HG00559,0.076169,ASN,Low
230,HG00560,0.074661,ASN,Low
231,HG00565,0.062594,ASN,Low
232,HG00566,0.025641,ASN,Low
233,HG00577,0.015083,ASN,Low
234,HG00578,0.062594,ASN,Low
235,HG00580,0.061840,ASN,Low
236,HG00581,0.063348,ASN,Low
237,HG00583,0.063348,ASN,Low
238,HG00584,0.064103,ASN,Low
239,HG00589,0.062594,ASN,Low
240,HG00590,0.080694,ASN,Low
241,HG00592,0.074661,ASN,Low
242,HG00593,0.060332,ASN,Low
243,HG00595,0.068627,ASN,Low
244,HG00596,0.098039,ASN,Low
245,HG00607,0.111614,ASN,Low
246,HG00608,0.085219,ASN,Low
247,HG00610,0.057315,ASN,Low
248,HG00611,0.104827,ASN,Low
249,HG00613,0.063348,ASN,Low
250,HG00614,0.057315,ASN,Low
251,HG00619,0.067873,ASN,Low
252,HG00620,0.038462,ASN,Low
253,HG00625,0.083710,ASN,Low
254,HG00626,0.089744,ASN,Low
255,HG00628,0.085973,ASN,Low
256,HG00629,0.052036,ASN,Low
257,HG00634,0.028658,ASN,Low
258,HG00635,0.055053,ASN,Low
259,HG00637,0.083710,AMR,High
260,HG00638,0.065611,AMR,High
261,HG00640,0.055807,AMR,High
262,HG00641,0.110860,AMR,High
263,HG00650,0.091252,ASN,Low
264,HG00651,0.053544,ASN,Low
265,HG00653,0.110106,ASN,Low
266,HG00654,0.074661,ASN,Low
